-- DTU dataset for estimating relative camera pose (Training data)
38 44 57 0.906084 0.109999 0.398152 0.091583 0.081155 -0.992915 -0.086800
36 40 10 0.976137 0.089545 -0.188190 -0.061009 0.517867 0.708833 -0.478925
34 38 4 0.909301 -0.024171 -0.389828 -0.143600 0.585707 0.803314 -0.107859
13 28 51 0.994157 0.102120 0.032466 0.013035 0.195709 -0.786167 -0.586207
27 33 42 0.972351 0.083913 -0.190999 -0.104935 -0.320854 0.516726 -0.793755
7 37 55 0.955481 0.293412 0.007459 -0.030178 -0.531648 0.292471 -0.794865
8 9 71 0.984201 0.019688 0.102429 0.143070 0.425157 -0.855224 0.296366
18 34 55 0.935944 0.211868 0.249401 0.130077 -0.180503 -0.850473 -0.494080
8 17 60 0.995028 0.098390 -0.003123 -0.015103 -0.678368 -0.195189 -0.708320
8 39 52 0.864926 0.335055 -0.296545 -0.227382 0.605875 0.702875 -0.372669
18 24 49 0.960433 0.118659 0.205610 0.145647 0.011052 -0.982788 -0.184407
22 38 54 0.982907 0.087858 -0.140066 -0.080968 0.428341 0.659714 -0.617496
6 22 30 0.952705 0.213585 0.168587 0.135323 -0.681183 -0.592137 -0.430539
13 32 63 0.963784 0.180121 -0.155954 -0.119810 -0.384449 0.148511 -0.911122
8 18 8 0.985046 0.082158 -0.093817 -0.118883 -0.095819 0.659875 -0.745240
8 39 22 0.864926 0.335055 -0.296545 -0.227382 0.605875 0.702875 -0.372669
3 8 37 0.978864 0.075682 -0.090162 -0.167239 -0.399419 0.606160 -0.687775
2 24 32 0.908443 0.245195 -0.207043 -0.267849 -0.273488 0.543110 -0.793874
20 43 42 0.899927 0.205132 0.368001 0.112375 -0.305742 -0.906098 -0.292418
4 38 50 0.904619 0.358306 -0.144116 -0.180311 -0.022387 0.803527 -0.594847
1 34 3 0.791710 0.283232 -0.375342 -0.389992 0.181101 0.620988 -0.762612
20 36 61 0.951646 0.114917 0.260627 0.115056 -0.278595 -0.958929 -0.053299
20 41 25 0.959694 0.205774 0.186269 0.044150 -0.616616 -0.564496 -0.548752
9 37 15 0.900484 0.245776 -0.268190 -0.238324 0.340738 0.734885 -0.586380
6 17 42 0.934775 0.129889 0.222964 0.244155 -0.146528 -0.985279 -0.088057
9 36 18 0.929526 0.263864 -0.186822 -0.177354 -0.020268 0.647129 -0.762111
15 26 8 0.991600 0.104802 0.065486 0.038182 0.048090 -0.872070 -0.487013
15 42 68 0.905265 0.257240 -0.289350 -0.174929 0.302418 0.709192 -0.636859
30 31 17 0.994260 -0.005782 -0.100203 -0.037052 -0.767845 0.466200 -0.439398
18 20 44 0.973256 0.077579 -0.165874 -0.138712 0.583328 0.658836 -0.475040
1 16 9 0.831587 0.108684 -0.307186 -0.449764 0.089560 0.709364 -0.699130
27 47 51 0.979597 0.197291 -0.020985 -0.032020 -0.128596 -0.233623 -0.963786
1 35 6 0.736932 0.251474 -0.439581 -0.447728 0.471181 0.627958 -0.619401
6 39 48 0.920874 0.386600 -0.003694 -0.050172 -0.316644 0.645400 -0.695123
1 23 47 0.736462 0.158489 -0.419719 -0.506301 0.531273 0.621350 -0.575910
6 7 7 0.984620 0.020227 0.100607 0.141396 -0.276480 -0.913317 0.299016
40 41 47 0.994892 0.003257 0.099718 0.015343 -0.284495 -0.884623 0.369466
6 8 56 0.938524 0.039876 0.198791 0.279402 0.228400 -0.937950 0.260929
17 44 9 0.943184 0.300784 0.137864 0.030429 -0.394694 -0.358622 -0.845935
28 46 71 0.951508 0.179948 -0.225439 -0.106905 -0.227195 0.356024 -0.906438
25 42 9 0.939088 0.174415 -0.269285 -0.123203 0.288665 0.723729 -0.626809
21 44 3 0.906547 0.205834 0.352727 0.106713 -0.161819 -0.896261 -0.412954
20 39 1 0.979826 0.198180 -0.001843 -0.025732 -0.191145 0.208361 -0.959192
15 24 20 0.983239 0.084191 -0.122896 -0.105119 -0.303396 0.517048 -0.800383
19 37 72 0.973259 0.204693 0.097757 0.036224 -0.650494 -0.293813 -0.700379
16 23 65 0.986305 0.085002 -0.106546 -0.092868 -0.181174 0.564421 -0.805360
18 23 62 0.984511 0.110158 0.113744 0.075269 -0.372627 -0.866544 -0.332041
16 35 8 0.976559 0.189202 -0.074731 -0.070353 -0.306845 0.242950 -0.920229
14 32 41 0.979150 0.193648 -0.038481 -0.047793 -0.329502 -0.251935 -0.909922
41 45 69 0.918904 0.012772 0.389646 0.060240 0.447240 -0.886097 0.121688
8 37 71 0.942985 0.273580 -0.131862 -0.136181 -0.077461 0.636126 -0.767687
8 15 21 0.957372 0.123231 0.177939 0.191284 0.272198 -0.938726 -0.211428
3 9 51 0.995071 0.097989 -0.002593 -0.015024 -0.724706 -0.486511 -0.487965
14 46 1 0.953369 0.289747 -0.055984 -0.063247 -0.221696 0.007055 -0.975090
41 44 63 0.954032 0.010079 0.296034 0.045660 0.299286 -0.918176 0.259580
21 40 34 0.979587 0.197634 -0.018172 -0.031923 -0.153990 0.210743 -0.965336
15 16 72 0.990326 -0.012795 -0.101058 -0.094228 -0.118132 0.878378 -0.463138
7 22 62 0.978468 0.201253 0.042682 0.016611 -0.689690 -0.122445 -0.713677
37 40 24 0.991115 0.095830 -0.085463 -0.034702 0.330494 0.478091 -0.813758
22 35 33 0.981137 0.110070 0.147505 0.059131 -0.199081 -0.927575 -0.316182
18 25 6 0.922900 0.124250 0.294808 0.214258 0.340669 -0.915755 -0.212926
7 20 26 0.965308 0.175746 -0.128785 -0.143902 0.196955 0.695088 -0.691420
35 44 65 0.989575 0.104053 0.098683 0.013263 -0.008544 -0.845422 -0.534031
27 31 21 0.994945 0.099677 -0.000109 -0.012184 -0.113819 -0.557935 -0.822042
31 32 44 0.994251 -0.005742 -0.100305 -0.037014 -0.625487 0.622690 -0.470131
15 27 77 0.974779 0.113206 0.158263 0.109285 0.527339 -0.770160 -0.358840
15 35 29 0.955351 0.174944 -0.191425 -0.141615 -0.049932 0.589577 -0.806168
4 6 61 0.957649 0.061288 -0.134920 -0.246876 0.525697 0.692254 -0.494395
24 40 2 0.912674 0.163610 -0.343261 -0.149767 0.627192 0.716498 -0.305385
20 41 69 0.959694 0.205774 0.186269 0.044150 -0.616616 -0.564496 -0.548752
11 26 8 0.965712 0.177177 -0.126321 -0.141601 -0.531249 0.026115 -0.846813
28 46 68 0.951508 0.179948 -0.225439 -0.106905 -0.227195 0.356024 -0.906438
1 25 66 0.858959 0.216990 -0.289881 -0.362041 -0.183239 0.536523 -0.823752
46 48 51 0.979455 0.005701 0.199196 0.030911 0.881065 -0.471383 -0.039007
37 43 38 0.971421 0.107869 0.207391 0.041169 -0.132946 -0.965650 -0.223263
25 31 35 0.966681 0.112010 0.211422 0.091003 0.563459 -0.717396 -0.409705
15 36 63 0.926534 0.160550 -0.278897 -0.194871 0.277152 0.728633 -0.626324
23 34 16 0.982945 0.109461 0.137462 0.054239 -0.027756 -0.930591 -0.365008
4 18 25 0.978299 0.187638 -0.039730 -0.078382 -0.617197 0.358441 -0.700420
33 36 65 0.948679 -0.017952 -0.296163 -0.109426 0.246331 0.878618 -0.409086
45 47 64 0.979433 0.005559 0.199317 0.030865 0.780605 -0.622911 0.051360
3 18 38 0.929667 0.150000 -0.185390 -0.280801 0.093080 0.761448 -0.641509
9 41 35 0.872060 0.340647 -0.277460 -0.215608 0.346944 0.750114 -0.562990
43 45 45 0.979658 0.005976 0.198220 0.030703 0.487837 -0.845383 0.217585
16 21 40 0.927646 0.058672 -0.287764 -0.230698 0.624335 0.705235 -0.335931
35 37 13 0.977033 -0.012543 -0.199652 -0.073410 0.379259 0.880986 -0.282887
43 47 32 0.919021 0.011297 0.389391 0.060397 0.692459 -0.707123 -0.143100
48 49 48 0.994901 0.002860 0.099635 0.015412 0.970146 -0.240924 0.027808
39 42 30 0.954291 0.010033 0.295224 0.045505 -0.066246 -0.901242 0.428223
3 18 31 0.929667 0.150000 -0.185390 -0.280801 0.093080 0.761448 -0.641509
26 28 1 0.972038 0.017923 0.199078 0.123245 0.954664 -0.288423 -0.073684
8 20 24 0.920275 0.149673 -0.252528 -0.258690 0.642202 0.647121 -0.410866
44 47 40 0.954061 0.008367 0.295976 0.045778 0.742963 -0.667036 -0.055400
38 41 44 0.987590 0.104742 0.115717 0.017451 -0.455076 -0.771289 -0.444993
6 18 34 0.973079 0.118966 0.135464 0.143576 -0.589374 -0.781457 -0.204849
1 2 39 0.967233 -0.030147 -0.102293 -0.230406 -0.438792 0.765580 -0.470478
39 40 38 0.994899 0.003509 0.099626 0.015449 -0.469551 -0.808987 0.353641
20 21 27 0.992985 0.009147 0.100133 0.062212 -0.398255 -0.852559 0.338433
32 46 2 0.994778 0.099330 -0.016530 -0.016673 -0.135295 -0.261609 -0.955644
33 48 4 0.952217 0.107306 0.279452 0.060617 0.623538 -0.601760 -0.499084
15 36 58 0.926534 0.160550 -0.278897 -0.194871 0.277152 0.728633 -0.626324
31 33 44 0.977099 -0.011116 -0.199366 -0.073528 -0.383929 0.719262 -0.579018
25 26 43 0.992872 0.008775 0.101200 0.062340 0.703582 -0.671561 0.232331
32 45 38 0.988069 0.094688 -0.114028 -0.041840 -0.273523 0.385217 -0.881359
34 35 49 0.994265 -0.006246 -0.100157 -0.036958 -0.058857 0.903756 -0.423983
18 37 17 0.979921 0.194915 -0.020086 -0.036872 -0.363083 0.209736 -0.907845
27 44 68 0.928569 0.171514 -0.300659 -0.133962 0.053955 0.640120 -0.766378
10 11 4 0.984409 0.018787 0.101250 0.142601 0.914024 -0.377661 0.148092
16 21 41 0.927646 0.058672 -0.287764 -0.230698 0.624335 0.705235 -0.335931
4 19 44 0.959993 0.168223 -0.119076 -0.189568 -0.024962 0.748998 -0.662102
32 33 10 0.994265 -0.005437 -0.100201 -0.036969 -0.453818 0.751030 -0.479587
2 8 33 0.901267 0.039634 -0.210506 -0.376608 0.241150 0.779657 -0.577912
21 41 1 0.976242 0.202720 0.076467 0.003036 -0.471212 -0.250246 -0.845776
10 15 74 0.991889 0.090355 -0.053057 -0.071949 -0.671508 -0.111312 -0.732589
26 32 50 0.994864 0.100464 0.009930 -0.007314 -0.136817 -0.572167 -0.808645
25 27 15 0.971828 0.017654 0.200023 0.123407 0.872267 -0.488626 0.019871
24 35 3 0.992479 0.094299 -0.064341 -0.044200 -0.232912 0.295667 -0.926463
20 39 16 0.979826 0.198180 -0.001843 -0.025732 -0.191145 0.208361 -0.959192
23 40 3 0.948345 0.177768 -0.237692 -0.111996 0.521129 0.681432 -0.513882
16 37 58 0.936419 0.164047 -0.253215 -0.179138 0.385378 0.722375 -0.574159
36 38 17 0.977053 -0.012065 -0.199497 -0.073643 0.549038 0.818627 -0.168548
33 42 50 0.946300 0.081525 -0.299744 -0.089577 0.267695 0.812007 -0.518638
5 18 2 0.962312 0.213783 0.107840 0.128932 -0.810153 -0.384878 -0.442178
16 36 74 0.962063 0.177439 -0.164944 -0.125474 0.025016 0.607960 -0.793574
43 45 57 0.979658 0.005976 0.198220 0.030703 0.487837 -0.845383 0.217585
34 44 39 0.994924 0.099594 -0.004759 -0.013580 -0.131261 -0.259703 -0.956726
3 36 50 0.895940 0.351299 -0.174897 -0.208067 -0.141662 0.687642 -0.712096
25 41 70 0.906066 0.162098 -0.358669 -0.155323 0.514025 0.756157 -0.404975
37 45 49 0.908643 0.109686 0.392661 0.090300 0.230590 -0.950126 -0.209974
19 39 3 0.952813 0.288147 -0.066285 -0.068744 0.001301 0.560441 -0.828193
19 22 14 0.981305 0.111530 0.129869 0.087957 -0.528174 -0.800849 -0.282262
2 24 45 0.908443 0.245195 -0.207043 -0.267849 -0.273488 0.543110 -0.793874
5 21 38 0.951141 0.300117 0.062335 0.037087 -0.788296 0.203021 -0.580837
35 39 52 0.915272 0.073949 -0.380447 -0.109860 0.685869 0.726157 -0.047746
14 25 72 0.979888 0.082252 -0.138615 -0.117639 -0.425454 0.435637 -0.793228
12 13 2 0.990317 -0.013212 -0.100657 -0.094692 -0.796738 0.443268 -0.410759
22 42 70 0.977467 0.202272 0.060296 -0.002998 -0.382266 -0.268916 -0.884057
12 27 30 0.972042 0.077819 -0.169935 -0.142127 -0.630355 0.182256 -0.754609
35 37 75 0.977033 -0.012543 -0.199652 -0.073410 0.379259 0.880986 -0.282887
3 18 8 0.929667 0.150000 -0.185390 -0.280801 0.093080 0.761448 -0.641509
25 41 12 0.906066 0.162098 -0.358669 -0.155323 0.514025 0.756157 -0.404975
23 35 76 0.993764 0.103046 0.041931 0.007495 -0.327601 -0.608871 -0.722464
5 18 63 0.962312 0.213783 0.107840 0.128932 -0.810153 -0.384878 -0.442178
35 37 12 0.977033 -0.012543 -0.199652 -0.073410 0.379259 0.880986 -0.282887
24 34 33 0.994276 0.102006 0.031671 0.002581 -0.243409 -0.607717 -0.755931
11 14 77 0.988224 0.086198 -0.077350 -0.100005 -0.705870 -0.127667 -0.696742
3 7 20 0.932181 0.050545 -0.173770 -0.313509 0.412686 0.747711 -0.520210
33 45 39 0.994861 0.099540 -0.010641 -0.015180 -0.129051 -0.256415 -0.957913
30 31 77 0.994260 -0.005782 -0.100203 -0.037052 -0.767845 0.466200 -0.439398
35 36 75 0.994237 -0.006517 -0.100438 -0.036901 0.148912 0.918196 -0.367070
6 40 67 0.915963 0.392801 0.081920 0.002839 -0.617022 0.380589 -0.688793
45 47 71 0.979433 0.005559 0.199317 0.030865 0.780605 -0.622911 0.051360
3 36 15 0.895940 0.351299 -0.174897 -0.208067 -0.141662 0.687642 -0.712096
30 47 45 0.986744 0.093573 -0.124877 -0.044571 -0.467704 0.165527 -0.868247
19 36 71 0.955258 0.209440 0.187519 0.091946 -0.558160 -0.663070 -0.498794
7 41 29 0.920578 0.388416 0.018842 -0.036247 -0.469383 0.423901 -0.774589
1 25 43 0.858959 0.216990 -0.289881 -0.362041 -0.183239 0.536523 -0.823752
17 44 15 0.943184 0.300784 0.137864 0.030429 -0.394694 -0.358622 -0.845935
16 24 30 0.994974 0.096914 -0.013065 -0.021534 -0.497280 -0.265974 -0.825815
26 28 8 0.972038 0.017923 0.199078 0.123245 0.954664 -0.288423 -0.073684
37 40 51 0.991115 0.095830 -0.085463 -0.034702 0.330494 0.478091 -0.813758
32 43 7 0.944649 0.082065 -0.304406 -0.090775 0.113645 0.774804 -0.621903
48 49 56 0.994901 0.002860 0.099635 0.015412 0.970146 -0.240924 0.027808
21 44 45 0.906547 0.205834 0.352727 0.106713 -0.161819 -0.896261 -0.412954
33 44 5 0.988771 0.094816 -0.108233 -0.040348 -0.156437 0.459543 -0.874270
1 15 44 0.895575 0.134779 -0.236172 -0.352140 -0.371362 0.530646 -0.761909
41 43 52 0.979373 0.006998 0.199607 0.030598 0.115853 -0.931429 0.344989
15 44 14 0.947957 0.283964 -0.112209 -0.090285 -0.178634 0.330092 -0.926892
18 20 54 0.973256 0.077579 -0.165874 -0.138712 0.583328 0.658836 -0.475040
13 30 66 0.979551 0.199447 0.025120 -0.008399 0.013110 -0.542953 -0.839661
16 21 76 0.927646 0.058672 -0.287764 -0.230698 0.624335 0.705235 -0.335931
15 33 25 0.980024 0.196139 -0.011246 -0.030928 -0.351004 -0.262414 -0.898852
23 25 10 0.971952 0.018481 0.199518 0.123131 0.563477 -0.803103 0.193698
38 41 69 0.987590 0.104742 0.115717 0.017451 -0.455076 -0.771289 -0.444993
14 43 27 0.893009 0.252228 -0.320755 -0.189820 0.235442 0.685148 -0.689304
25 47 25 0.956666 0.205212 0.200461 0.049938 0.216732 -0.630429 -0.745376
38 41 29 0.987590 0.104742 0.115717 0.017451 -0.455076 -0.771289 -0.444993
38 44 32 0.906084 0.109999 0.398152 0.091583 0.081155 -0.992915 -0.086800
23 41 20 0.968342 0.187470 -0.145003 -0.078372 0.212755 0.573709 -0.790945
10 17 8 0.931778 0.056213 -0.231319 -0.274082 0.195676 0.776030 -0.599574
1 11 29 0.982013 0.078040 -0.080428 -0.151958 -0.811627 -0.277402 -0.514111
6 17 10 0.934775 0.129889 0.222964 0.244155 -0.146528 -0.985279 -0.088057
35 45 13 0.974174 0.106566 0.195311 0.038496 0.214187 -0.915783 -0.339802
25 27 21 0.971828 0.017654 0.200023 0.123407 0.872267 -0.488626 0.019871
43 46 48 0.954413 0.008620 0.294850 0.045671 0.618860 -0.783538 0.055503
15 23 22 0.958333 0.070905 -0.214386 -0.174954 0.107340 0.758809 -0.642407
21 22 71 0.992968 0.009315 0.100357 0.062095 -0.172236 -0.919581 0.353138
8 19 22 0.955945 0.064706 -0.182734 -0.220433 0.539599 0.702916 -0.463403
5 8 26 0.940040 0.132249 0.160500 0.270322 -0.254779 -0.959550 -0.119800
34 45 50 0.990238 0.103233 0.092922 0.011725 0.132486 -0.814967 -0.564159
26 47 62 0.975048 0.202797 0.089862 0.008952 0.090773 -0.506460 -0.857472
7 38 43 0.951385 0.282649 -0.077344 -0.094835 -0.173327 0.615023 -0.769223
46 48 43 0.979455 0.005701 0.199196 0.030911 0.881065 -0.471383 -0.039007
26 34 59 0.974619 0.085243 -0.181100 -0.100270 -0.178176 0.614432 -0.768587
17 42 10 0.954225 0.290087 -0.043755 -0.058217 -0.245025 0.318094 -0.915849
48 49 15 0.994901 0.002860 0.099635 0.015412 0.970146 -0.240924 0.027808
19 38 43 0.980045 0.197643 0.006959 -0.020032 -0.425676 0.199753 -0.882553
20 21 59 0.992985 0.009147 0.100133 0.062212 -0.398255 -0.852559 0.338433
8 42 21 0.919924 0.382052 -0.045171 -0.075738 -0.328817 0.463514 -0.822821
24 45 72 0.971066 0.203784 0.122822 0.020423 -0.105341 -0.604969 -0.789250
10 17 32 0.931778 0.056213 -0.231319 -0.274082 0.195676 0.776030 -0.599574
35 45 7 0.974174 0.106566 0.195311 0.038496 0.214187 -0.915783 -0.339802
8 9 53 0.984201 0.019688 0.102429 0.143070 0.425157 -0.855224 0.296366
20 39 66 0.979826 0.198180 -0.001843 -0.025732 -0.191145 0.208361 -0.959192
9 23 41 0.965444 0.175896 -0.128502 -0.143057 -0.281188 0.502801 -0.817389
16 17 50 0.990226 -0.013752 -0.101728 -0.094418 0.161855 0.901384 -0.401635
25 31 14 0.966681 0.112010 0.211422 0.091003 0.563459 -0.717396 -0.409705
19 24 33 0.915016 0.125954 0.309583 0.225920 0.155442 -0.980480 -0.120403
24 38 63 0.919279 0.065180 -0.344212 -0.179431 0.661590 0.718906 -0.213242
17 41 9 0.945062 0.280164 -0.134260 -0.101688 0.066860 0.587156 -0.806708
37 41 50 0.994795 0.100717 0.012223 -0.009484 -0.212796 -0.263065 -0.941018
19 35 56 0.926161 0.212144 0.275253 0.146480 -0.326526 -0.860042 -0.392058
26 44 66 0.958959 0.183859 -0.193648 -0.095366 -0.056049 0.522659 -0.850698
25 34 42 0.991502 0.094330 -0.074984 -0.049014 -0.315138 0.264145 -0.911546
48 49 19 0.994901 0.002860 0.099635 0.015412 0.970146 -0.240924 0.027808
1 23 52 0.736462 0.158489 -0.419719 -0.506301 0.531273 0.621350 -0.575910
4 17 58 0.977584 0.203782 0.040370 0.034230 -0.755899 -0.294999 -0.584459
21 44 24 0.906547 0.205834 0.352727 0.106713 -0.161819 -0.896261 -0.412954
26 32 18 0.994864 0.100464 0.009930 -0.007314 -0.136817 -0.572167 -0.808645
43 47 2 0.919021 0.011297 0.389391 0.060397 0.692459 -0.707123 -0.143100
8 18 14 0.985046 0.082158 -0.093817 -0.118883 -0.095819 0.659875 -0.745240
38 42 1 0.970328 0.107635 0.212289 0.042568 -0.307522 -0.937097 -0.165165
4 18 51 0.978299 0.187638 -0.039730 -0.078382 -0.617197 0.358441 -0.700420
17 20 52 0.935122 0.061389 -0.271590 -0.219127 0.758519 0.610432 -0.228082
8 19 2 0.955945 0.064706 -0.182734 -0.220433 0.539599 0.702916 -0.463403
33 47 44 0.976436 0.105721 0.184714 0.035738 0.505462 -0.733395 -0.454577
25 31 50 0.966681 0.112010 0.211422 0.091003 0.563459 -0.717396 -0.409705
35 42 66 0.990010 0.094874 -0.097313 -0.037541 0.097490 0.522878 -0.846814
17 22 8 0.988936 0.086896 -0.089399 -0.080387 -0.076029 0.571691 -0.816939
10 15 36 0.991889 0.090355 -0.053057 -0.071949 -0.671508 -0.111312 -0.732589
17 33 39 0.944963 0.210247 0.223379 0.113770 -0.033405 -0.816194 -0.576812
1 34 56 0.791710 0.283232 -0.375342 -0.389992 0.181101 0.620988 -0.762612
23 25 3 0.971952 0.018481 0.199518 0.123131 0.563477 -0.803103 0.193698
9 25 29 0.978367 0.201525 0.043423 0.017300 -0.423259 -0.555033 -0.716093
10 34 32 0.936740 0.270699 -0.158414 -0.155386 -0.275640 0.393127 -0.877196
25 47 66 0.956666 0.205212 0.200461 0.049938 0.216732 -0.630429 -0.745376
4 38 10 0.904619 0.358306 -0.144116 -0.180311 -0.022387 0.803527 -0.594847
19 42 13 0.929067 0.301814 0.204236 0.063489 -0.634980 -0.387207 -0.668485
17 18 22 0.990321 -0.014124 -0.100730 -0.094441 0.421916 0.852105 -0.309682
34 44 9 0.994924 0.099594 -0.004759 -0.013580 -0.131261 -0.259703 -0.956726
34 47 8 0.950415 0.107145 0.285261 0.062106 0.517503 -0.743902 -0.422848
13 32 15 0.963784 0.180121 -0.155954 -0.119810 -0.384449 0.148511 -0.911122
9 43 73 0.913669 0.374270 -0.109599 -0.114539 -0.212066 0.492628 -0.844006
19 39 68 0.952813 0.288147 -0.066285 -0.068744 0.001301 0.560441 -0.828193
7 37 59 0.955481 0.293412 0.007459 -0.030178 -0.531648 0.292471 -0.794865
24 38 40 0.919279 0.065180 -0.344212 -0.179431 0.661590 0.718906 -0.213242
37 44 64 0.944866 0.109480 0.301459 0.066067 0.063704 -0.984406 -0.163972
15 32 26 0.975607 0.203026 0.079599 0.025195 -0.099504 -0.619464 -0.778693
36 42 40 0.994846 0.100599 0.006428 -0.010955 -0.173590 -0.269119 -0.947334
27 45 24 0.955376 0.182053 -0.209536 -0.101037 -0.146465 0.451892 -0.879967
2 16 16 0.936113 0.154962 -0.173455 -0.263803 -0.388365 0.539690 -0.746932
28 30 39 0.994900 0.098849 -0.010286 -0.017209 -0.106159 -0.553670 -0.825942
8 38 52 0.920936 0.257545 -0.214705 -0.198618 0.329651 0.732735 -0.595340
18 24 65 0.960433 0.118659 0.205610 0.145647 0.011052 -0.982788 -0.184407
14 32 14 0.979150 0.193648 -0.038481 -0.047793 -0.329502 -0.251935 -0.909922
18 40 74 0.949539 0.284634 -0.100424 -0.085283 0.046919 0.574485 -0.817170
32 47 41 0.991241 0.103053 0.082101 0.009024 0.363937 -0.679932 -0.636587
27 47 44 0.979597 0.197291 -0.020985 -0.032020 -0.128596 -0.233623 -0.963786
34 37 32 0.948642 -0.018601 -0.296359 -0.109108 0.414800 0.866742 -0.276946
38 39 75 0.991665 0.095886 -0.079408 -0.033179 0.426837 0.422732 -0.799442
17 40 11 0.926199 0.267575 -0.223185 -0.144044 0.408969 0.689577 -0.597685
9 10 70 0.984320 0.019288 0.101978 0.142625 0.716464 -0.656207 0.236792
11 14 1 0.988224 0.086198 -0.077350 -0.100005 -0.705870 -0.127667 -0.696742
15 42 46 0.905265 0.257240 -0.289350 -0.174929 0.302418 0.709192 -0.636859
21 41 7 0.976242 0.202720 0.076467 0.003036 -0.471212 -0.250246 -0.845776
29 48 23 0.985967 0.093093 -0.130615 -0.046279 -0.530800 0.029012 -0.847000
13 26 70 0.976258 0.080041 -0.154004 -0.129602 -0.538538 0.322493 -0.778444
7 36 34 0.948557 0.300865 0.092270 0.034724 -0.667562 -0.116257 -0.735422
37 40 30 0.991115 0.095830 -0.085463 -0.034702 0.330494 0.478091 -0.813758
18 20 77 0.973256 0.077579 -0.165874 -0.138712 0.583328 0.658836 -0.475040
15 36 75 0.926534 0.160550 -0.278897 -0.194871 0.277152 0.728633 -0.626324
23 33 23 0.960918 0.113815 0.231449 0.100568 0.262878 -0.923607 -0.279008
38 41 45 0.987590 0.104742 0.115717 0.017451 -0.455076 -0.771289 -0.444993
20 42 1 0.934766 0.206465 0.278234 0.078557 -0.492687 -0.787012 -0.371310
20 23 3 0.937419 0.027542 0.295127 0.182723 0.197426 -0.929291 0.312156
32 44 60 0.971279 0.088938 -0.210413 -0.066582 -0.104350 0.659934 -0.744042
19 35 75 0.926161 0.212144 0.275253 0.146480 -0.326526 -0.860042 -0.392058
14 33 23 0.968966 0.183847 -0.128954 -0.103330 -0.347422 0.208057 -0.914336
17 20 75 0.935122 0.061389 -0.271590 -0.219127 0.758519 0.610432 -0.228082
24 44 68 0.979256 0.200095 0.028421 -0.014574 -0.233842 -0.261316 -0.936500
34 45 8 0.990238 0.103233 0.092922 0.011725 0.132486 -0.814967 -0.564159
6 21 28 0.973318 0.206320 0.083793 0.055350 -0.778056 -0.132861 -0.613984
21 34 10 0.919318 0.118784 0.341828 0.154592 0.154749 -0.977757 -0.141578
17 37 34 0.967683 0.181005 -0.137528 -0.109142 0.078973 0.600587 -0.795649
4 21 45 0.944422 0.270454 -0.105404 -0.154311 -0.232522 0.698191 -0.677099
3 16 9 0.979240 0.191372 -0.027642 -0.060845 -0.711023 -0.145199 -0.688014
21 40 53 0.979587 0.197634 -0.018172 -0.031923 -0.153990 0.210743 -0.965336
15 24 13 0.983239 0.084191 -0.122896 -0.105119 -0.303396 0.517048 -0.800383
32 35 63 0.948761 -0.016834 -0.295960 -0.109441 0.066638 0.849761 -0.522939
18 43 11 0.936574 0.301867 0.171712 0.047114 -0.514827 -0.381251 -0.767855
22 38 53 0.982907 0.087858 -0.140066 -0.080968 0.428341 0.659714 -0.617496
28 46 13 0.951508 0.179948 -0.225439 -0.106905 -0.227195 0.356024 -0.906438
11 44 9 0.855537 0.332086 -0.317283 -0.238971 0.134828 0.619954 -0.772967
8 41 66 0.910843 0.370046 -0.130771 -0.127790 -0.042888 0.677992 -0.733817
30 31 30 0.994260 -0.005782 -0.100203 -0.037052 -0.767845 0.466200 -0.439398
13 14 45 0.990297 -0.013112 -0.101022 -0.094519 -0.611309 0.640280 -0.465127
7 22 1 0.978468 0.201253 0.042682 0.016611 -0.689690 -0.122445 -0.713677
31 48 42 0.991774 0.102727 0.075997 0.007501 0.449650 -0.586895 -0.673327
16 36 16 0.962063 0.177439 -0.164944 -0.125474 0.025016 0.607960 -0.793574
29 30 58 0.994280 -0.005760 -0.099964 -0.037158 -0.875136 0.288163 -0.388715
7 37 41 0.955481 0.293412 0.007459 -0.030178 -0.531648 0.292471 -0.794865
22 39 48 0.952482 0.179590 -0.221798 -0.106451 0.621487 0.620484 -0.478282
17 21 4 0.968828 0.074557 -0.181872 -0.150782 0.440914 0.729638 -0.522707
11 33 28 0.921399 0.260301 -0.211863 -0.195909 -0.252742 0.369986 -0.893998
19 20 21 0.992587 0.091927 -0.056983 -0.055445 0.056206 0.514623 -0.855572
24 41 1 0.944006 0.175414 -0.253495 -0.117566 0.408450 0.717639 -0.564059
16 43 3 0.951851 0.287096 -0.077851 -0.074131 -0.199936 0.330055 -0.922545
25 35 73 0.977084 0.085458 -0.170068 -0.095293 -0.028459 0.679745 -0.732896
3 38 49 0.829405 0.303800 -0.321240 -0.341465 0.557369 0.723646 -0.407034
38 43 53 0.942854 0.109550 0.307378 0.067407 -0.107292 -0.991681 -0.071114
16 41 66 0.916418 0.262097 -0.256938 -0.159578 0.363579 0.708318 -0.605058
3 17 28 0.963744 0.172455 -0.108082 -0.172557 -0.469003 0.483832 -0.738880
25 35 72 0.977084 0.085458 -0.170068 -0.095293 -0.028459 0.679745 -0.732896
4 19 69 0.959993 0.168223 -0.119076 -0.189568 -0.024962 0.748998 -0.662102
41 42 39 0.994868 0.003444 0.099951 0.015326 -0.085726 -0.924867 0.370503
26 35 27 0.947718 0.075316 -0.273901 -0.145385 0.112355 0.761534 -0.638313
